Source	Target	Type	Weight
OCTAVIUS CAESAR	TAURUS	Undirected	1
OCTAVIUS CAESAR	THYREUS	Undirected	2
PHILO	CLEOPATRA	Undirected	1
PHILO	DEMETRIUS	Undirected	1
POMPEY	DOMITIUS ENOBARBUS	Undirected	6
POMPEY	LEPIDUS	Undirected	5
POMPEY	MARK ANTONY	Undirected	10
POMPEY	MENAS	Undirected	12
POMPEY	MENECRATES	Undirected	2
POMPEY	OCTAVIUS CAESAR	Undirected	5
POMPEY	VARRIUS	Undirected	1
PROCULEIUS	CLEOPATRA	Undirected	7
PROCULEIUS	DOLABELLA	Undirected	1
PROCULEIUS	GALLUS	Undirected	1
PROCULEIUS	OCTAVIUS CAESAR	Undirected	1
SCARUS	CANIDIUS	Undirected	1
SCARUS	DOMITIUS ENOBARBUS	Undirected	4
SCARUS	EROS	Undirected	1
SCARUS	MARK ANTONY	Undirected	6
SELEUCUS	CLEOPATRA	Undirected	2
SELEUCUS	OCTAVIUS CAESAR	Undirected	1
SILIUS	VENTIDIUS	Undirected	3
TAURUS	OCTAVIUS CAESAR	Undirected	1
THYREUS	CLEOPATRA	Undirected	8
THYREUS	DOMITIUS ENOBARBUS	Undirected	2
THYREUS	MARK ANTONY	Undirected	1
THYREUS	OCTAVIUS CAESAR	Undirected	1
VARRIUS	POMPEY	Undirected	1
VENTIDIUS	AGRIPPA	Undirected	1
VENTIDIUS	SILIUS	Undirected	3
